country	continent	year	lifeExp	pop	gdpPercap
Bosnia and Herzegovina	Europe	1952	53.82	2791000	973.5331948
Bosnia and Herzegovina	Europe	1957	58.45	3076000	1353.989176
Bosnia and Herzegovina	Europe	1962	61.93	3349000	1709.683679
Bosnia and Herzegovina	Europe	1967	64.79	3585000	2172.352423
Bosnia and Herzegovina	Europe	1972	67.45	3819000	2860.16975
Bosnia and Herzegovina	Europe	1977	69.86	4086000	3528.481305
Bosnia and Herzegovina	Europe	1982	70.69	4172693	4126.613157
Bosnia and Herzegovina	Europe	1987	71.14	4338977	4314.114757
Bosnia and Herzegovina	Europe	1992	72.178	4256013	2546.781445
Bosnia and Herzegovina	Europe	1997	73.244	3607000	4766.355904
Bosnia and Herzegovina	Europe	2002	74.09	4165416	6018.975239
Bosnia and Herzegovina	Europe	2007	74.852	4552198	7446.298803
Botswana	Africa	1952	47.622	442308	851.2411407
Botswana	Africa	1957	49.618	474639	918.2325349
Botswana	Africa	1962	51.52	512764	983.6539764
Botswana	Africa	1967	53.298	553541	1214.709294
Botswana	Africa	1972	56.024	619351	2263.611114
Botswana	Africa	1977	59.319	781472	3214.857818
Botswana	Africa	1982	61.484	970347	4551.14215
Botswana	Africa	1987	63.622	1151184	6205.88385
Botswana	Africa	1992	62.745	1342614	7954.111645
Botswana	Africa	1997	52.556	1536536	8647.142313
Botswana	Africa	2002	46.634	1630347	11003.60508
Botswana	Africa	2007	50.728	1639131	12569.85177
Brazil	Americas	1952	50.917	56602560	2108.944355
Brazil	Americas	1957	53.285	65551171	2487.365989
Brazil	Americas	1962	55.665	76039390	3336.585802
Brazil	Americas	1967	57.632	88049823	3429.864357
Brazil	Americas	1972	59.504	100840058	4985.711467
Brazil	Americas	1977	61.489	114313951	6660.118654
Brazil	Americas	1982	63.336	128962939	7030.835878
Brazil	Americas	1987	65.205	142938076	7807.095818
Brazil	Americas	1992	67.057	155975974	6950.283021
Brazil	Americas	1997	69.388	168546719	7957.980824
Brazil	Americas	2002	71.006	179914212	8131.212843
Brazil	Americas	2007	72.39	190010647	9065.800825
Bulgaria	Europe	1952	59.6	7274900	2444.286648
Bulgaria	Europe	1957	66.61	7651254	3008.670727
Bulgaria	Europe	1962	69.51	8012946	4254.337839
Bulgaria	Europe	1967	70.42	8310226	5577.0028
Bulgaria	Europe	1972	70.9	8576200	6597.494398
Bulgaria	Europe	1977	70.81	8797022	7612.240438
Bulgaria	Europe	1982	71.08	8892098	8224.191647
Bulgaria	Europe	1987	71.34	8971958	8239.854824
Bulgaria	Europe	1992	71.19	8658506	6302.623438
Bulgaria	Europe	1997	70.32	8066057	5970.38876
Bulgaria	Europe	2002	72.14	7661799	7696.777725
Bulgaria	Europe	2007	73.005	7322858	10680.79282
Burkina Faso	Africa	1952	31.975	4469979	543.2552413
Burkina Faso	Africa	1957	34.906	4713416	617.1834648
Burkina Faso	Africa	1962	37.814	4919632	722.5120206
Burkina Faso	Africa	1967	40.697	5127935	794.8265597
Burkina Faso	Africa	1972	43.591	5433886	854.7359763
Burkina Faso	Africa	1977	46.137	5889574	743.3870368
Burkina Faso	Africa	1982	48.122	6634596	807.1985855
Burkina Faso	Africa	1987	49.557	7586551	912.0631417
Burkina Faso	Africa	1992	50.26	8878303	931.7527731
Burkina Faso	Africa	1997	50.324	10352843	946.2949618
Burkina Faso	Africa	2002	50.65	12251209	1037.645221
Burkina Faso	Africa	2007	52.295	14326203	1217.032994
Burundi	Africa	1952	39.031	2445618	339.2964587
Burundi	Africa	1957	40.533	2667518	379.5646281
Burundi	Africa	1962	42.045	2961915	355.2032273
Burundi	Africa	1967	43.548	3330989	412.9775136
Burundi	Africa	1972	44.057	3529983	464.0995039
Burundi	Africa	1977	45.91	3834415	556.1032651
Burundi	Africa	1982	47.471	4580410	559.603231
Burundi	Africa	1987	48.211	5126023	621.8188189
Burundi	Africa	1992	44.736	5809236	631.6998778
Burundi	Africa	1997	45.326	6121610	463.1151478
Burundi	Africa	2002	47.36	7021078	446.4035126
Burundi	Africa	2007	49.58	8390505	430.0706916
Cambodia	Asia	1952	39.417	4693836	368.4692856
Cambodia	Asia	1957	41.366	5322536	434.0383364
Cambodia	Asia	1962	43.415	6083619	496.9136476
Cambodia	Asia	1967	45.415	6960067	523.4323142
Cambodia	Asia	1972	40.317	7450606	421.6240257
Cambodia	Asia	1977	31.22	6978607	524.9721832
Cambodia	Asia	1982	50.957	7272485	624.4754784
Cambodia	Asia	1987	53.914	8371791	683.8955732
Cambodia	Asia	1992	55.803	10150094	682.3031755
Cambodia	Asia	1997	56.534	11782962	734.28517
Cambodia	Asia	2002	56.752	12926707	896.2260153
Cambodia	Asia	2007	59.723	14131858	1713.778686
Cameroon	Africa	1952	38.523	5009067	1172.667655
Cameroon	Africa	1957	40.428	5359923	1313.048099
Cameroon	Africa	1962	42.643	5793633	1399.607441
Cameroon	Africa	1967	44.799	6335506	1508.453148
Cameroon	Africa	1972	47.049	7021028	1684.146528
Cameroon	Africa	1977	49.355	7959865	1783.432873
Cameroon	Africa	1982	52.961	9250831	2367.983282
Cameroon	Africa	1987	54.985	10780667	2602.664206
Cameroon	Africa	1992	54.314	12467171	1793.163278
Cameroon	Africa	1997	52.199	14195809	1694.337469
Cameroon	Africa	2002	49.856	15929988	1934.011449
Cameroon	Africa	2007	50.43	17696293	2042.09524
Canada	Americas	1952	68.75	14785584	11367.16112
Canada	Americas	1957	69.96	17010154	12489.95006
Canada	Americas	1962	71.3	18985849	13462.48555
Canada	Americas	1967	72.13	20819767	16076.58803
Canada	Americas	1972	72.88	22284500	18970.57086
Canada	Americas	1977	74.21	23796400	22090.88306
Canada	Americas	1982	75.76	25201900	22898.79214
Canada	Americas	1987	76.86	26549700	26626.51503
Canada	Americas	1992	77.95	28523502	26342.88426
Canada	Americas	1997	78.61	30305843	28954.92589
Canada	Americas	2002	79.77	31902268	33328.96507
Canada	Americas	2007	80.653	33390141	36319.23501
Central African Republic	Africa	1952	35.463	1291695	1071.310713
Central African Republic	Africa	1957	37.464	1392284	1190.844328
Central African Republic	Africa	1962	39.475	1523478	1193.068753
Central African Republic	Africa	1967	41.478	1733638	1136.056615
Central African Republic	Africa	1972	43.457	1927260	1070.013275
Central African Republic	Africa	1977	46.775	2167533	1109.374338
Central African Republic	Africa	1982	48.295	2476971	956.7529907
Central African Republic	Africa	1987	50.485	2840009	844.8763504
Central African Republic	Africa	1992	49.396	3265124	747.9055252
Central African Republic	Africa	1997	46.066	3696513	740.5063317
Central African Republic	Africa	2002	43.308	4048013	738.6906068
Central African Republic	Africa	2007	44.741	4369038	706.016537
Chad	Africa	1952	38.092	2682462	1178.665927
Chad	Africa	1957	39.881	2894855	1308.495577
Chad	Africa	1962	41.716	3150417	1389.817618
Chad	Africa	1967	43.601	3495967	1196.810565
Chad	Africa	1972	45.569	3899068	1104.103987
Chad	Africa	1977	47.383	4388260	1133.98495
Chad	Africa	1982	49.517	4875118	797.9081006
Chad	Africa	1987	51.051	5498955	952.386129
Chad	Africa	1992	51.724	6429417	1058.0643
Chad	Africa	1997	51.573	7562011	1004.961353
Chad	Africa	2002	50.525	8835739	1156.18186
Chad	Africa	2007	50.651	10238807	1704.063724
Chile	Americas	1952	54.745	6377619	3939.978789
Chile	Americas	1957	56.074	7048426	4315.622723
Chile	Americas	1962	57.924	7961258	4519.094331
Chile	Americas	1967	60.523	8858908	5106.654313
Chile	Americas	1972	63.441	9717524	5494.024437
Chile	Americas	1977	67.052	10599793	4756.763836
Chile	Americas	1982	70.565	11487112	5095.665738
Chile	Americas	1987	72.492	12463354	5547.063754
Chile	Americas	1992	74.126	13572994	7596.125964
Chile	Americas	1997	75.816	14599929	10118.05318
Chile	Americas	2002	77.86	15497046	10778.78385
Chile	Americas	2007	78.553	16284741	13171.63885
China	Asia	1952	44	556263527	400.448611
China	Asia	1957	50.54896	637408000	575.9870009
China	Asia	1962	44.50136	665770000	487.6740183
China	Asia	1967	58.38112	754550000	612.7056934
China	Asia	1972	63.11888	862030000	676.9000921
China	Asia	1977	63.96736	943455000	741.2374699
China	Asia	1982	65.525	1000281000	962.4213805
China	Asia	1987	67.274	1084035000	1378.904018
China	Asia	1992	68.69	1164970000	1655.784158
China	Asia	1997	70.426	1230075000	2289.234136
China	Asia	2002	72.028	1280400000	3119.280896
China	Asia	2007	72.961	1318683096	4959.114854
Colombia	Americas	1952	50.643	12350771	2144.115096
Colombia	Americas	1957	55.118	14485993	2323.805581
Colombia	Americas	1962	57.863	17009885	2492.351109
Colombia	Americas	1967	59.963	19764027	2678.729839
Colombia	Americas	1972	61.623	22542890	3264.660041
Colombia	Americas	1977	63.837	25094412	3815.80787
Colombia	Americas	1982	66.653	27764644	4397.575659
Colombia	Americas	1987	67.768	30964245	4903.2191
Colombia	Americas	1992	68.421	34202721	5444.648617
Colombia	Americas	1997	70.313	37657830	6117.361746
Colombia	Americas	2002	71.682	41008227	5755.259962
Colombia	Americas	2007	72.889	44227550	7006.580419
Comoros	Africa	1952	40.715	153936	1102.990936
Comoros	Africa	1957	42.46	170928	1211.148548
Comoros	Africa	1962	44.467	191689	1406.648278
Comoros	Africa	1967	46.472	217378	1876.029643
Comoros	Africa	1972	48.944	250027	1937.577675
Comoros	Africa	1977	50.939	304739	1172.603047
Comoros	Africa	1982	52.933	348643	1267.100083
Comoros	Africa	1987	54.926	395114	1315.980812
Comoros	Africa	1992	57.939	454429	1246.90737
Comoros	Africa	1997	60.66	527982	1173.618235
Comoros	Africa	2002	62.974	614382	1075.811558
Comoros	Africa	2007	65.152	710960	986.1478792
Congo, Dem. Rep.	Africa	1952	39.143	14100005	780.5423257
Congo, Dem. Rep.	Africa	1957	40.652	15577932	905.8602303
Congo, Dem. Rep.	Africa	1962	42.122	17486434	896.3146335
Congo, Dem. Rep.	Africa	1967	44.056	19941073	861.5932424
Congo, Dem. Rep.	Africa	1972	45.989	23007669	904.8960685
Congo, Dem. Rep.	Africa	1977	47.804	26480870	795.757282
Congo, Dem. Rep.	Africa	1982	47.784	30646495	673.7478181
Congo, Dem. Rep.	Africa	1987	47.412	35481645	672.774812
Congo, Dem. Rep.	Africa	1992	45.548	41672143	457.7191807
Congo, Dem. Rep.	Africa	1997	42.587	47798986	312.188423
Congo, Dem. Rep.	Africa	2002	44.966	55379852	241.1658765
Congo, Dem. Rep.	Africa	2007	46.462	64606759	277.5518587
Congo, Rep.	Africa	1952	42.111	854885	2125.621418
Congo, Rep.	Africa	1957	45.053	940458	2315.056572
Congo, Rep.	Africa	1962	48.435	1047924	2464.783157
Congo, Rep.	Africa	1967	52.04	1179760	2677.939642
Congo, Rep.	Africa	1972	54.907	1340458	3213.152683
Congo, Rep.	Africa	1977	55.625	1536769	3259.178978
Congo, Rep.	Africa	1982	56.695	1774735	4879.507522
Congo, Rep.	Africa	1987	57.47	2064095	4201.194937
Congo, Rep.	Africa	1992	56.433	2409073	4016.239529
Congo, Rep.	Africa	1997	52.962	2800947	3484.164376
Congo, Rep.	Africa	2002	52.97	3328795	3484.06197
Congo, Rep.	Africa	2007	55.322	3800610	3632.557798
Costa Rica	Americas	1952	57.206	926317	2627.009471
Costa Rica	Americas	1957	60.026	1112300	2990.010802
Costa Rica	Americas	1962	62.842	1345187	3460.937025
Costa Rica	Americas	1967	65.424	1588717	4161.727834
Costa Rica	Americas	1972	67.849	1834796	5118.146939
Costa Rica	Americas	1977	70.75	2108457	5926.876967
Costa Rica	Americas	1982	73.45	2424367	5262.734751
Costa Rica	Americas	1987	74.752	2799811	5629.915318
Costa Rica	Americas	1992	75.713	3173216	6160.416317
Costa Rica	Americas	1997	77.26	3518107	6677.045314
Costa Rica	Americas	2002	78.123	3834934	7723.447195
Costa Rica	Americas	2007	78.782	4133884	9645.06142
Cote d'Ivoire	Africa	1952	40.477	2977019	1388.594732
Cote d'Ivoire	Africa	1957	42.469	3300000	1500.895925
Cote d'Ivoire	Africa	1962	44.93	3832408	1728.869428
Cote d'Ivoire	Africa	1967	47.35	4744870	2052.050473
Cote d'Ivoire	Africa	1972	49.801	6071696	2378.201111
Cote d'Ivoire	Africa	1977	52.374	7459574	2517.736547
Cote d'Ivoire	Africa	1982	53.983	9025951	2602.710169
Cote d'Ivoire	Africa	1987	54.655	10761098	2156.956069
Cote d'Ivoire	Africa	1992	52.044	12772596	1648.073791
Cote d'Ivoire	Africa	1997	47.991	14625967	1786.265407
Cote d'Ivoire	Africa	2002	46.832	16252726	1648.800823
Cote d'Ivoire	Africa	2007	48.328	18013409	1544.750112
Croatia	Europe	1952	61.21	3882229	3119.23652
Croatia	Europe	1957	64.77	3991242	4338.231617
Croatia	Europe	1962	67.13	4076557	5477.890018
Croatia	Europe	1967	68.5	4174366	6960.297861
Croatia	Europe	1972	69.61	4225310	9164.090127
Croatia	Europe	1977	70.64	4318673	11305.38517
Croatia	Europe	1982	70.46	4413368	13221.82184
Croatia	Europe	1987	71.52	4484310	13822.58394
Croatia	Europe	1992	72.527	4494013	8447.794873
Croatia	Europe	1997	73.68	4444595	9875.604515
Croatia	Europe	2002	74.876	4481020	11628.38895
Croatia	Europe	2007	75.748	4493312	14619.22272
Cuba	Americas	1952	59.421	6007797	5586.53878
Cuba	Americas	1957	62.325	6640752	6092.174359
Cuba	Americas	1962	65.246	7254373	5180.75591
Cuba	Americas	1967	68.29	8139332	5690.268015
Cuba	Americas	1972	70.723	8831348	5305.445256
Cuba	Americas	1977	72.649	9537988	6380.494966
Cuba	Americas	1982	73.717	9789224	7316.918107
Cuba	Americas	1987	74.174	10239839	7532.924763
Cuba	Americas	1992	74.414	10723260	5592.843963
Cuba	Americas	1997	76.151	10983007	5431.990415
Cuba	Americas	2002	77.158	11226999	6340.646683
Cuba	Americas	2007	78.273	11416987	8948.102923
Czech Republic	Europe	1952	66.87	9125183	6876.14025
Czech Republic	Europe	1957	69.03	9513758	8256.343918
Czech Republic	Europe	1962	69.9	9620282	10136.86713
Czech Republic	Europe	1967	70.38	9835109	11399.44489
Czech Republic	Europe	1972	70.29	9862158	13108.4536
Czech Republic	Europe	1977	70.71	10161915	14800.16062
Czech Republic	Europe	1982	70.96	10303704	15377.22855
Czech Republic	Europe	1987	71.58	10311597	16310.4434
Czech Republic	Europe	1992	72.4	10315702	14297.02122
Czech Republic	Europe	1997	74.01	10300707	16048.51424
Czech Republic	Europe	2002	75.51	10256295	17596.21022
Czech Republic	Europe	2007	76.486	10228744	22833.30851
Denmark	Europe	1952	70.78	4334000	9692.385245
Denmark	Europe	1957	71.81	4487831	11099.65935
Denmark	Europe	1962	72.35	4646899	13583.31351
Denmark	Europe	1967	72.96	4838800	15937.21123
Denmark	Europe	1972	73.47	4991596	18866.20721
Denmark	Europe	1977	74.69	5088419	20422.9015
Denmark	Europe	1982	74.63	5117810	21688.04048
Denmark	Europe	1987	74.8	5127024	25116.17581
Denmark	Europe	1992	75.33	5171393	26406.73985
Denmark	Europe	1997	76.11	5283663	29804.34567
Denmark	Europe	2002	77.18	5374693	32166.50006
Denmark	Europe	2007	78.332	5468120	35278.41874
Djibouti	Africa	1952	34.812	63149	2669.529475
Djibouti	Africa	1957	37.328	71851	2864.969076
Djibouti	Africa	1962	39.693	89898	3020.989263
Djibouti	Africa	1967	42.074	127617	3020.050513
Djibouti	Africa	1972	44.366	178848	3694.212352
Djibouti	Africa	1977	46.519	228694	3081.761022
Djibouti	Africa	1982	48.812	305991	2879.468067
Djibouti	Africa	1987	50.04	311025	2880.102568
Djibouti	Africa	1992	51.604	384156	2377.156192
Djibouti	Africa	1997	53.157	417908	1895.016984
Djibouti	Africa	2002	53.373	447416	1908.260867
Djibouti	Africa	2007	54.791	496374	2082.481567
Dominican Republic	Americas	1952	45.928	2491346	1397.717137
Dominican Republic	Americas	1957	49.828	2923186	1544.402995
Dominican Republic	Americas	1962	53.459	3453434	1662.137359
Dominican Republic	Americas	1967	56.751	4049146	1653.723003
Dominican Republic	Americas	1972	59.631	4671329	2189.874499
Dominican Republic	Americas	1977	61.788	5302800	2681.9889
Dominican Republic	Americas	1982	63.727	5968349	2861.092386
Dominican Republic	Americas	1987	66.046	6655297	2899.842175
Dominican Republic	Americas	1992	68.457	7351181	3044.214214
Dominican Republic	Americas	1997	69.957	7992357	3614.101285
Dominican Republic	Americas	2002	70.847	8650322	4563.808154
Dominican Republic	Americas	2007	72.235	9319622	6025.374752
Ecuador	Americas	1952	48.357	3548753	3522.110717
Ecuador	Americas	1957	51.356	4058385	3780.546651
Ecuador	Americas	1962	54.64	4681707	4086.114078
Ecuador	Americas	1967	56.678	5432424	4579.074215
Ecuador	Americas	1972	58.796	6298651	5280.99471
Ecuador	Americas	1977	61.31	7278866	6679.62326
Ecuador	Americas	1982	64.342	8365850	7213.791267
Ecuador	Americas	1987	67.231	9545158	6481.776993
Ecuador	Americas	1992	69.613	10748394	7103.702595
Ecuador	Americas	1997	72.312	11911819	7429.455877
Ecuador	Americas	2002	74.173	12921234	5773.044512
Ecuador	Americas	2007	74.994	13755680	6873.262326
Egypt	Africa	1952	41.893	22223309	1418.822445
Egypt	Africa	1957	44.444	25009741	1458.915272
Egypt	Africa	1962	46.992	28173309	1693.335853
Egypt	Africa	1967	49.293	31681188	1814.880728
Egypt	Africa	1972	51.137	34807417	2024.008147
Egypt	Africa	1977	53.319	38783863	2785.493582
Egypt	Africa	1982	56.006	45681811	3503.729636
Egypt	Africa	1987	59.797	52799062	3885.46071
Egypt	Africa	1992	63.674	59402198	3794.755195
Egypt	Africa	1997	67.217	66134291	4173.181797
Egypt	Africa	2002	69.806	73312559	4754.604414
Egypt	Africa	2007	71.338	80264543	5581.180998
El Salvador	Americas	1952	45.262	2042865	3048.3029
El Salvador	Americas	1957	48.57	2355805	3421.523218
El Salvador	Americas	1962	52.307	2747687	3776.803627
El Salvador	Americas	1967	55.855	3232927	4358.595393
El Salvador	Americas	1972	58.207	3790903	4520.246008
El Salvador	Americas	1977	56.696	4282586	5138.922374
El Salvador	Americas	1982	56.604	4474873	4098.344175
El Salvador	Americas	1987	63.154	4842194	4140.442097
El Salvador	Americas	1992	66.798	5274649	4444.2317
El Salvador	Americas	1997	69.535	5783439	5154.825496
El Salvador	Americas	2002	70.734	6353681	5351.568666
El Salvador	Americas	2007	71.878	6939688	5728.353514
Equatorial Guinea	Africa	1952	34.482	216964	375.6431231
Equatorial Guinea	Africa	1957	35.983	232922	426.0964081
Equatorial Guinea	Africa	1962	37.485	249220	582.8419714
Equatorial Guinea	Africa	1967	38.987	259864	915.5960025
Equatorial Guinea	Africa	1972	40.516	277603	672.4122571
Equatorial Guinea	Africa	1977	42.024	192675	958.5668124
Equatorial Guinea	Africa	1982	43.662	285483	927.8253427
Equatorial Guinea	Africa	1987	45.664	341244	966.8968149
Equatorial Guinea	Africa	1992	47.545	387838	1132.055034
Equatorial Guinea	Africa	1997	48.245	439971	2814.480755
Equatorial Guinea	Africa	2002	49.348	495627	7703.4959
Equatorial Guinea	Africa	2007	51.579	551201	12154.08975
Eritrea	Africa	1952	35.928	1438760	328.9405571
Eritrea	Africa	1957	38.047	1542611	344.1618859
Eritrea	Africa	1962	40.158	1666618	380.9958433
Eritrea	Africa	1967	42.189	1820319	468.7949699
Eritrea	Africa	1972	44.142	2260187	514.3242082
Eritrea	Africa	1977	44.535	2512642	505.7538077
Eritrea	Africa	1982	43.89	2637297	524.8758493
Eritrea	Africa	1987	46.453	2915959	521.1341333
Eritrea	Africa	1992	49.991	3668440	582.8585102
Eritrea	Africa	1997	53.378	4058319	913.47079
Eritrea	Africa	2002	55.24	4414865	765.3500015
Eritrea	Africa	2007	58.04	4906585	641.3695236
Ethiopia	Africa	1952	34.078	20860941	362.1462796
Ethiopia	Africa	1957	36.667	22815614	378.9041632
Ethiopia	Africa	1962	40.059	25145372	419.4564161
Ethiopia	Africa	1967	42.115	27860297	516.1186438
Ethiopia	Africa	1972	43.515	30770372	566.2439442
Ethiopia	Africa	1977	44.51	34617799	556.8083834
Ethiopia	Africa	1982	44.916	38111756	577.8607471
Ethiopia	Africa	1987	46.684	42999530	573.7413142
Ethiopia	Africa	1992	48.091	52088559	421.3534653
Ethiopia	Africa	1997	49.402	59861301	515.8894013
Ethiopia	Africa	2002	50.725	67946797	530.0535319
Ethiopia	Africa	2007	52.947	76511887	690.8055759
